month,recomputed_from_roster,file_summary,discrepancy
2026-05-01,1,1,0
2026-06-01,8,8,0
2026-07-01,4,4,0
2026-08-01,6,6,0
2026-09-01,4,4,0
2026-10-01,6,6,0
2026-11-01,8,8,0
2026-12-01,7,7,0
2027-01-01,8,8,0
2027-02-01,3,3,0
2027-03-01,7,7,0
2027-04-01,4,4,0
2027-05-01,4,4,0
2027-06-01,4,4,0
2027-07-01,9,9,0
2027-08-01,15,15,0
2027-09-01,7,7,0
2027-10-01,4,4,0
2027-11-01,4,4,0
2027-12-01,3,3,0
2028-01-01,5,5,0
2028-02-01,6,6,0
2028-03-01,6,6,0
2028-04-01,4,4,0
2028-05-01,5,5,0
2028-06-01,2,2,0
2028-07-01,7,7,0
2028-08-01,9,9,0
2028-09-01,3,3,0
2028-10-01,3,4,1
2028-11-01,6,6,0
2028-12-01,5,5,0
2029-01-01,5,5,0
2029-02-01,3,3,0
2029-03-01,0,0,0
2029-04-01,0,0,0
2029-05-01,0,0,0
2029-06-01,0,0,0
2029-07-01,0,0,0
2029-08-01,0,0,0
2029-09-01,0,0,0
2029-10-01,1,1,0
